graph_id,min_df,Topics,Words,Similar Words,No. Results,No. QGS,No. GS,No. Total
1,0.1,1,5,0,177,2,3,12
2,0.1,1,5,1,277,2,4,12
3,0.1,1,5,2,320,2,4,12
4,0.1,1,5,3,323,2,4,12
5,0.1,1,6,0,122,2,3,12
6,0.1,1,6,1,211,2,3,12
7,0.1,1,6,2,259,2,3,12
8,0.1,1,6,3,305,2,3,12
9,0.1,1,7,0,15,0,0,0
10,0.1,1,7,1,33,0,0,0
11,0.1,1,7,2,42,0,0,0
12,0.1,1,7,3,231,2,3,12
13,0.1,1,8,0,3,0,0,0
14,0.1,1,8,1,3,0,0,0
15,0.1,1,8,2,3,0,0,0
16,0.1,1,8,3,15,2,2,12
17,0.1,1,9,0,-1,2,2,12
18,0.1,1,9,1,-1,2,2,12
19,0.1,1,9,2,3,0,0,0
20,0.1,1,9,3,10,2,2,12
21,0.1,1,10,0,-1,2,2,12
22,0.1,1,10,1,-1,2,2,12
23,0.1,1,10,2,3,0,0,0
24,0.1,1,10,3,7,2,2,12
25,0.1,2,5,0,105,1,1,12
26,0.1,2,5,1,245,1,1,12
27,0.1,2,5,2,288,1,1,12
28,0.1,2,5,3,694,3,4,12
29,0.1,2,6,0,41,1,1,12
30,0.1,2,6,1,62,1,1,12
31,0.1,2,6,2,68,1,1,12
32,0.1,2,6,3,251,3,4,12
33,0.1,2,7,0,17,1,1,12
34,0.1,2,7,1,35,1,1,12
35,0.1,2,7,2,44,1,1,12
36,0.1,2,7,3,233,3,4,12
37,0.1,2,8,0,3,1,1,12
38,0.1,2,8,1,12,1,1,12
39,0.1,2,8,2,13,1,1,12
40,0.1,2,8,3,233,3,4,12
41,0.1,2,9,0,3,1,1,12
42,0.1,2,9,1,10,1,1,12
43,0.1,2,9,2,12,1,1,12
44,0.1,2,9,3,168,3,4,12
45,0.1,2,10,0,2,1,1,12
46,0.1,2,10,1,6,1,1,12
47,0.1,2,10,2,11,1,1,12
48,0.1,2,10,3,111,3,4,12
49,0.1,3,5,0,116,2,2,12
50,0.1,3,5,1,4272,3,3,12
51,0.1,3,5,2,3025,0,0,0
52,0.1,3,5,3,3025,0,0,0
53,0.1,3,6,0,21,2,2,12
54,0.1,3,6,1,207,2,2,12
55,0.1,3,6,2,1760,2,2,12
56,0.1,3,6,3,3025,0,0,0
57,0.1,3,7,0,12,2,2,12
58,0.1,3,7,1,193,2,2,12
59,0.1,3,7,2,1702,2,2,12
60,0.1,3,7,3,3025,0,0,0
61,0.1,3,8,0,7,2,2,12
62,0.1,3,8,1,15,2,2,12
63,0.1,3,8,2,25,2,2,12
64,0.1,3,8,3,253,3,3,12
65,0.1,3,9,0,3,2,2,12
66,0.1,3,9,1,11,2,2,12
67,0.1,3,9,2,21,2,2,12
68,0.1,3,9,3,249,3,3,12
69,0.1,3,10,0,3,2,2,12
70,0.1,3,10,1,4,2,2,12
71,0.1,3,10,2,9,2,2,12
72,0.1,3,10,3,82,3,3,12
73,0.1,4,5,0,268,2,2,12
74,0.1,4,5,1,590,2,2,12
75,0.1,4,5,2,590,2,2,12
76,0.1,4,5,3,3124,5,6,12
77,0.1,4,6,0,105,1,1,12
78,0.1,4,6,1,478,1,1,12
79,0.1,4,6,2,512,1,1,12
80,0.1,4,6,3,2919,5,6,12
81,0.1,4,7,0,35,1,1,12
82,0.1,4,7,1,196,1,1,12
83,0.1,4,7,2,273,1,1,12
84,0.1,4,7,3,1687,4,5,12
85,0.1,4,8,0,23,1,1,12
86,0.1,4,8,1,150,1,1,12
87,0.1,4,8,2,225,1,1,12
88,0.1,4,8,3,1409,3,3,12
89,0.1,4,9,0,2,0,0,0
90,0.1,4,9,1,18,0,0,0
91,0.1,4,9,2,61,0,0,0
92,0.1,4,9,3,583,2,2,12
